Vendor,Product,Item_Type,Seller_or_Channel,Region,Observed_or_Indicative_Price,MOQ,Risk_or_Interpretation,Source
Texas Instruments,TDA4VL-Q1 chip,Automotive SoC,TI direct/distributor,Global,US$84.95 at low quantity; US$68.60 at 250–999 previously observed,Chip only,Indicative; verify live quote and volume LTSA,https://www.ti.com/product/TDA4VL-Q1/part-details/TDA4VL21HGAALZRQ1
Texas Instruments,SK-TDA4VM / J721EXSKG01EVM,Development starter kit,DigiKey,Global,US$326.81 observed,1,Non-automotive starter-kit PCB; useful ADVIS migration baseline,https://www.digikey.com/en/products/filter/evaluation-boards/embedded-mcu-dsp-evaluation-boards/786
Texas Instruments,SK-AM62A-LP,Development starter kit,TI / distributors,Global,Typically US$249 class when available,1,Availability has been intermittent; verify stock,https://www.ti.com/tool/SK-AM62A-LP
NVIDIA,Jetson Orin Nano Super Developer Kit,Prototype AI SBC,NVIDIA,Global,US$249 official launch price,1,67-TOPS prototype value; no automotive safety qualification,https://developer.nvidia.com/blog/?p=93942
NVIDIA,Jetson AGX Orin 64GB Developer Kit,Prototype AI system,NVIDIA,Global,"US$1,999 official",1,High-end model and multi-camera development; not DRIVE automotive ECU,https://developer.nvidia.com/embedded/faq
Vicharak,Axon 8GB/32GB RK3588,Prototype SBC,Vicharak / TradeIndia,India,"₹18,290 observed",1,Current ADVIS prototype board; 6-TOPS RKNN path,https://www.tradeindia.com/products/single-board-computers-rk3588-9007870.html
Vicharak,Axon 16GB/64GB RK3588,Prototype SBC,Vicharak / TradeIndia,India,"₹23,010 observed",1,Higher-memory prototype; no automotive qualification,https://www.tradeindia.com/products/axon-16gb-lpddr4x-variant-64gb-emmc-variant-motherboard-9007878.html
Orange Pi,Orange Pi 5 Plus RK3588,Prototype SBC,Orange Pi / marketplaces,Global,US$120–220 typical by RAM/storage,1,Price varies widely; verify camera connectors and BSP,https://www.orangepi.org/html/hardWare/computerAndMicrocontrollers/details/Orange-Pi-5-plus.html
Radxa,ROCK 5B RK3588,Prototype SBC,Radxa / distributors,Global,US$130–250 typical by RAM,1,Strong community; no automotive grade,https://radxa.com/products/rock5/5b/
NXP,i.MX 95 EVK,Development board,NXP / distributors,Global,"RFQ / distributor; often >US$1,000 class",1,"Safety-enabled general edge platform, not dedicated ADAS EVM",https://www.nxp.com/products/i.MX95
Renesas,R-Car V3H Starter Kit,Automotive development kit,Renesas,Global,RFQ / order-now channel,1,Professional automotive kit; likely high cost,https://www.renesas.com/en/design-resources/boards-kits/y-ask-rcar-v3h
Hailo,Hailo-8 M.2 Starter Kit,AI accelerator kit,Hailo distributors,Global/India,US$180–300 typical,1,Add 26 TOPS to host; automotive IC option differs from dev module,https://hailo.ai/products/shop/product/hailo-8-starter-kit/
Raspberry Pi,AI HAT+ 13 TOPS (Hailo-8L),Prototype accelerator,Raspberry Pi distributors,Global,US$70 class,1,Very cheap DMS/detection experiment; not automotive,https://www.raspberrypi.com/products/ai-hat/
Raspberry Pi,AI HAT+ 26 TOPS (Hailo-8),Prototype accelerator,Raspberry Pi distributors,Global,US$110 class,1,Good low-cost multi-model prototype,https://www.raspberrypi.com/products/ai-hat/
Google,Coral USB Accelerator,Prototype accelerator,Google distributors,Global,US$59.99 class,1,4 TOPS; constrained TFLite models,https://coral.ai/products/accelerator/
AMD,Kria KV260 Vision AI Starter Kit,FPGA/AI development kit,AMD distributors,Global,US$249 class,1,Good custom video pipeline research; not automotive-qualified board,https://www.amd.com/en/products/system-on-modules/kria/k26/kv260-vision-starter-kit.html
Qualcomm,RB5 Robotics Kit,Robotics AI development kit,Thundercomm / distributors,Global,US$449–500 class,1,Rich camera/AI prototype; no automotive safety release,https://www.qualcomm.com/developer/hardware/rb5-robotics-kit
Kneron,KNEO Pi / KL730 board,Edge AI SBC,Kneron,Global,Price varies / RFQ,1,4 eTOPS class; evaluate real model latency,https://kneo.kneron.com/kneo-pi
DEEPX,DX-M1 M.2 module,AI accelerator module,DEEPX / distributors,Global,RFQ,1,25 TOPS at 1–5 W; automotive grade upon contract/request,https://deepx.ai/products/dx-m1/
Nextchip,APACHE5 EVK/module,Automotive vision development,Nextchip partners,Korea/global,RFQ,1–5,Strong low-cost automotive candidate; request camera kit and compiler,https://www.nextchip.com/en/adas/adas.php?idx=5
Ambarella,CV22FS/CV2FS development platform,Automotive vision development,Ambarella/Tier-1 partners,Global,RFQ / NDA,Programme,"Professional design-in, not retail",https://www.ambarella.com/products/automotive/
Horizon Robotics,Journey 6 / Matrix reference platform,Automotive domain controller,Horizon ecosystem,China/global JV,RFQ,Programme,Validate export/tool access and safety evidence,https://www.horizon.auto/en/solutions/horizon-journey/horizon-journey6?tp=1
Black Sesame,A1000 development platform,Automotive domain controller,Black Sesame / ECARX ecosystem,China,RFQ,Programme,Validate global support and tool licensing,https://www.blacksesame.com/en/
Renesas,R-Car V4M/V4H development platform,Automotive ADAS development,Renesas,Global,RFQ,Programme,Strong production path; newer low-volume access limited,https://www.renesas.com/en/about/newsroom/renesas-leads-adas-innovation-power-efficient-4th-generation-r-car-automotive-socs
Qualcomm,Snapdragon Ride / Ride Flex platform,Automotive ADAS platform,Qualcomm/Tier-1,Global,RFQ / OEM nomination,Programme,Not a retail evaluation platform,https://www.qualcomm.com/automotive/solutions/snapdragon-ride
