Rank,Tier,Sensor,Vendor,Market class,Automotive qualification,MP,Resolution,Optical format,Pixel size,Shutter,Max FPS,HDR / LFM,Typical interface,What it is good at,Main limitations,Prototype fit (1–5),Production fit (1–5),Sourcing status,Price seen,Supplier/platform,Supplier link,Official spec,Notes
1,A — Flagship automotive,OX12A10,OmniVision,Automotive exterior sensing,Yes,12,4624 × 2600,"1/1.43""",2.1 µm,Rolling,Vendor data,TheiaCel HDR + LFM,MIPI CSI-2; SerDes module dependent,Premium long-range object/sign detail,"High bandwidth, ISP, lens and module cost",2,5,Manufacturer/design-in,Quote only,OmniVision,,https://www.ovt.com/products/ox12a10/,Not a low-cost first PoC.
2,A — Flagship automotive,OX08D20,OmniVision,Automotive exterior sensing,Yes,8,3840 × 2160,"1/1.729""",2.1 µm,Rolling,60 fps HDR3; 55 fps HDR4; 30 fps HDR6,TheiaCel/LOFIC + DCG; HDR/LFM,MIPI CSI-2; SerDes module dependent,High-end front ADAS and fast HDR scenes,New ecosystem; quote-only; demanding compute,2,5,Manufacturer/design-in,Quote only,OmniVision,,https://www.ovt.com/products/ox08d20/,Future-facing premium option.
3,A — Flagship automotive,AR0823AT,onsemi,Automotive ADAS sensing,Yes,8.3,3840 × 2160,"1/1.8""",2.1 µm,Rolling,Up to 60 fps; HDR up to 40 fps,Up to 150 dB; HDR + LFM,MIPI CSI-2; SerDes module dependent,Long-range L2+/L3 sensing,High compute/bandwidth; listing authenticity risk,3,5,Official + partners; China listings,Alibaba about US$53–57; confirm item type,Alibaba,https://www.alibaba.com/product-detail/AR0823-8MP-CMOS-Image-Sensor_1600940836406.html,https://www.onsemi.com/products/sensors/image-sensors/ar0823at,Confirm bare sensor versus complete camera.
4,A — Flagship automotive,IMX728,Sony,Automotive sensing,Yes,8.39,8.39 MP class,"1/1.72""",2.1 µm,Rolling,Up to 40 fps,Automotive HDR/LFM family,MIPI CSI-2; Tier-1 module,Premium front sensing,Very limited open-market modules,1,5,Sony/authorized channel,Quote only,Sony,,https://www.sony-semicon.com/en/products/is/automotive/automotive.html,"Design-in item, not DIY."
5,A — Flagship automotive,OX08D10,OmniVision,Automotive exterior sensing,Yes,8,3840 × 2160,Approx. 1/1.7 class,2.1 µm,Rolling,4K automotive modes,TheiaCel/LOFIC + DCG; HDR/LFM,MIPI CSI-2,Premium front ADAS with strong HDR,Mostly quote-only; tuning support required,2,5,Manufacturer/module partner,Quote only,OmniVision,,https://www.ovt.com/products/ox08d10/,Ask for PWL and ISP support.
6,A — Flagship automotive,IMX490,Sony,Automotive sensing,Yes,5.4,2896 × 1876,"1/1.55""",3.0 µm,Rolling,40 fps 10-bit / 30 fps 12-bit,120 dB; up to 140 dB DR-priority; LFM,MIPI CSI-2; GMSL/USB modules,Excellent low-light/HDR; premium 5 MP,Large lens; expensive samples,4,5,Leopard/DigiKey/Mouser,"US$609–717; India about ₹68,402",Leopard Imaging,https://leopardimaging.com/product/automotive-cameras/gmsl2-cameras/li-imx490-gmsl2/,https://www.sony-semicon.com/files/62/pdf/p-13_IMX490.pdf,Premium ADVIS benchmark.
7,A — Flagship automotive,OX05D10,OmniVision,Automotive exterior sensing,Yes,5,2880 × 1920,"1/2.48""",2.1 µm,Rolling,Vendor data,TheiaCel HDR + LFM,MIPI CSI-2,Compact 5 MP exterior camera,New; module and TI tuning uncertain,2,5,Manufacturer/design-in,Quote only,OmniVision,,https://www.ovt.com/products/ox05d10/,Confirm lifecycle and mass production.
8,A — Flagship automotive,IMX424,Sony,Automotive sensing,Yes,7.42,7.42 MP class,"1/1.7""",2.25 µm,Rolling,Up to 40 fps,Automotive HDR/LFM family,MIPI CSI-2,High-resolution front sensing,Limited retail modules/public integration,1,5,Sony/Tier-1 channel,Quote only,Sony,,https://www.sony-semicon.com/en/products/is/automotive/automotive.html,Design-in product.
9,A — Flagship automotive,OX08B40 / OX08B4C,OmniVision,Automotive front-view sensing,Yes,8.3,3840 × 2160,Large automotive format,See brief,Rolling,Automotive 4K modes,Up to 140 dB HDR + LFM,MIPI CSI-2,Established 8 MP front-view ADAS,Older than OX08D generation,2,5,Manufacturer/partners,Quote only,OmniVision,,https://www.ovt.com/products/ox08b40/,Useful older-generation benchmark.
10,B — Mainstream automotive,AR0341AT,onsemi,Automotive ADAS sensing,Yes,3,3 MP class,"1/3.6""",2.1 µm,Rolling,Module dependent,Up to 150 dB; HDR + LFM,MIPI CSI-2; GMSL2 modules,Compact mainstream ADAS; cost/performance,Small pixels; newer ecosystem,4,5,e-con/onsemi,Sample ~US$349; volume from ~US$99,e-con Systems,https://www.e-consystems.com/automotive-cameras/3mp-hdr-gmsl2-camera.asp,https://www.onsemi.com/products/sensors/image-sensors/ar0341at,Strong cost-down candidate.
11,B — Mainstream automotive,IMX623,Sony,Automotive sensing,Yes,3,3 MP class,"1/2.42""",3.0 µm,Rolling,60 fps 10-bit / 30 fps 12-bit,Automotive HDR/LFM family,MIPI CSI-2,Modern 3 MP sensing with large pixels,Hard to source openly,1,5,Sony authorized design-in,Quote only,Sony,,https://www.sony-semicon.com/en/products/is/automotive/automotive.html,Attractive where Sony support exists.
12,B — Mainstream automotive,AR0233AT,onsemi,Automotive ADAS sensing,Yes,2.6,2048 × 1280,Approx. 1/2.5 class,3.0 µm,Rolling,1080p up to 60 fps,>140 dB HDR; LFM,MIPI CSI-2; SerDes modules,"Cost-conscious front ADAS, strong HDR",Less long-range detail than 5/8 MP,4,5,onsemi/module partners,Quote only,onsemi,,https://www.onsemi.com/products/sensors/image-sensors/ar0233at,Direct IMX390/OX03C10 rival.
13,B — Mainstream automotive,OX03H10,OmniVision,Automotive exterior/viewing,Yes,3,3 MP class,See brief,See brief,Rolling,Vendor data,TheiaCel HDR + LFM,MIPI CSI-2,New compact 3 MP exterior camera,Viewing heritage; sensing validation needed,2,4,Manufacturer/design-in,Quote only,OmniVision,,https://www.ovt.com/products/ox03h10/,Check exact package and raw modes.
