Manufacturer,Position,Relevant families,Strengths,Risks,ADVIS role,Official link
OMNIVISION,Automotive DMS/OMS leader,"OX01H1B, OX01N1B, OV2311, OV2312, OX02C1S, OX05B1S, OX05C1S","Strong Nyxel NIR, broad resolution ladder, safety/cyber portfolio",Documentation/module access often NDA/design-in; open listings need authenticity checks,Primary RFQ family,https://www.ovt.com/applications/automotive/
onsemi,Automotive + industrial,"AR0144AT, AR0234AT/CS, ARX3A0","Mature global shutter, machine-vision modules, automotive AT parts",Fewer DMS-specific open modules; exact AT variant must be verified,Primary second-source,https://www.onsemi.com/products/sensors/image-sensors
STMicroelectronics,Automotive + industrial imaging,"VB56G4A/G6A, VB1740, VB1940, VG/VD5761, VD5661, VD56G3, VD16GZ","Excellent 940 nm, global shutter, RGB-NIR and partner modules; strong automotive credibility",Commercial access and exact part/package path often RFQ,Primary second-source / underrated,https://www.st.com/en/imaging-and-photonics-solutions/automotive-cmos-image-sensors.html
SmartSens,China automotive CIS,"SC233AT, SC533AT","AEC-Q100/ASIL-B automotive in-cabin products, built-in ISP option, competitive China sourcing",Module ecosystem and English documentation/support must be qualified,High-priority China-source,https://www.smartsenstech.com/en/
Sony Semiconductor Solutions,Premium automotive/industrial,IMX775; IMX296/273; IMX462/290/327 prototype families,"High image quality, low light and professional module ecosystem",Automotive DMS parts are new/restricted; sensor documentation can be NDA-based,Premium benchmark / prototype,https://www.sony-semicon.com/en/products/is/automotive/
ams OSRAM,Industrial RGB-IR vision,Mira220,"Strong RGB-IR / NIR efficiency, compact GS sensors",Not automotive qualified and fewer low-cost modules,Underrated prototype option,https://ams-osram.com/products/sensor-solutions/cmos-imaging-sensors
GalaxyCore,Low-cost embedded/security,"GC2053, GC2083 and newer GS/IoT families",Very low cost and broad China module ecosystem,Limited automotive safety/lifecycle and inconsistent module support,DIY / cost exploration,https://www.gcoreinc.com/
Himax,Ultra-low-power always-on vision,HM0360 and WiseEye ecosystem,Excellent power efficiency and tinyML wake-up path,Low resolution; not primary DMS camera,Secondary wake-up sensor,https://www.himax.com.tw/products/cmos-image-sensor/
Gpixel,Industrial global-shutter CIS,GMAX / GSPRINT families,High-end global shutter and HDR machine vision,Typically too large/expensive for cabin DMS; no automotive module path,Research only,https://www.gpixel.com/
PixArt Imaging,Optical tracking / low-power vision,PAW/PAS motion and compact vision families,Very low-power tracking and gesture sensing,Limited public automotive DMS portfolio and full-frame quality,Auxiliary sensing research,https://www.pixart.com/
Pixelplus,Korean automotive/security CIS,PXS automotive/security families,Potential cost-diverse automotive supplier,Specific DMS part and support must be identified by RFQ,Alternative supplier scouting,https://www.pixelplus.com/
Brigates / BYD Semiconductor / other China CIS houses,Emerging China-source,Part-number-specific RFQ required,Potential aggressive pricing and local module support,"Public specifications, lifecycle and safety evidence may be limited",Supplier discovery only,
